genome,completeness,contamination,strain_heterogeneity,length,N50
Aluwihare_DNA1_bin.318.fa,30.69,0.0,0.0,801979,1918
Aluwihare_DNA1_bin.319.fa,87.01,3.94,12.5,2044165,13833
Aluwihare_DNA1_bin.320.fa,61.52,5.17,33.33,2510558,8445
Aluwihare_DNA1_bin.321.fa,39.11,0.0,0.0,2032683,2767
Aluwihare_DNA1_bin.322.fa,0.0,0.0,0.0,201106,5919
Aluwihare_DNA1_bin.323.fa,90.41,0.43,0.0,1948796,25132
Aluwihare_DNA1_bin.325.fa,73.39,1.28,50.0,1044890,4783
Aluwihare_DNA1_bin.327.fa,96.97,2.25,50.0,2592109,44430
Aluwihare_DNA1_bin.328.fa,3.45,0.0,0.0,1122938,3675
Aluwihare_DNA1_bin.331.fa,31.03,5.17,66.67,1127178,2651
Aluwihare_DNA1_bin.333.fa,0.0,0.0,0.0,379648,4639
Aluwihare_DNA1_bin.334.fa,12.5,4.17,0.0,854060,2616
Aluwihare_DNA1_bin.335.fa,82.66,3.48,38.89,2684727,5636
Aluwihare_DNA1_bin.336.fa,68.17,4.42,20.0,2456679,6197
Aluwihare_DNA1_bin.337.fa,4.67,2.3,26.32,397186,4445
Aluwihare_DNA1_bin.338.fa,68.76,6.03,60.0,1201358,7122
Aluwihare_DNA1_bin.339.fa,0.0,0.0,0.0,256291,4543
Aluwihare_DNA1_bin.340.fa,36.82,2.16,28.57,1076591,1985
Aluwihare_DNA1_bin.342.fa,68.77,1.28,0.0,1171642,3374
Aluwihare_DNA1_bin.343.fa,37.07,0.86,0.0,1391242,2822
Aluwihare_DNA1_bin.344.fa,0.16,0.0,0.0,243282,5058
Aluwihare_DNA1_bin.346.fa,83.45,1.35,50.0,2067938,12347
Aluwihare_DNA1_bin.349.fa,27.19,0.0,0.0,1603939,2265
Aluwihare_DNA1_bin.35.fa,3.98,0.5,0.0,518597,57985
Aluwihare_DNA1_bin.350.fa,22.02,0.0,0.0,339108,33255
Aluwihare_DNA1_bin.352.fa,3.67,3.51,0.0,2936044,7281
Aluwihare_DNA1_bin.354.fa,0.0,0.0,0.0,363301,7992
Aluwihare_DNA1_bin.355.fa,29.62,0.0,0.0,1551227,2566
Aluwihare_DNA1_bin.356.fa,0.0,0.0,0.0,253528,13587
Aluwihare_DNA1_bin.358.fa,94.7,0.99,16.67,3094986,31735
Aluwihare_DNA1_bin.359.fa,8.33,0.0,0.0,542331,1954
Aluwihare_DNA1_bin.360.fa,90.98,0.43,0.0,2201907,33346
Aluwihare_DNA1_bin.361.fa,0.0,0.0,0.0,277077,27346
Aluwihare_DNA1_bin.363.fa,4.17,0.0,0.0,524155,9241
Aluwihare_DNA1_bin.365.fa,0.0,0.0,0.0,407684,47338
Aluwihare_DNA1_bin.367.fa,91.82,7.25,76.0,1490834,14478
Aluwihare_DNA1_bin.368.fa,30.65,1.75,0.0,376672,3128
Aluwihare_DNA1_bin.37.fa,93.5,7.76,72.0,2952278,50017
Aluwihare_DNA1_bin.371.fa,76.14,2.14,0.0,2515196,5434
Aluwihare_DNA1_bin.373.fa,99.32,0.68,0.0,3066091,85163
Aluwihare_DNA1_bin.374.fa,0.0,0.0,0.0,274640,11284
Aluwihare_DNA1_bin.375.fa,37.41,0.0,0.0,2066200,2824
Aluwihare_DNA1_bin.377.fa,14.66,0.0,0.0,356192,2393
Aluwihare_DNA1_bin.378.fa,5.17,0.0,0.0,301665,3281
Aluwihare_DNA1_bin.38.fa,0.0,0.0,0.0,221937,12234
Aluwihare_DNA1_bin.383.fa,64.16,5.45,0.0,1260558,7742
Aluwihare_DNA1_bin.384.fa,12.07,1.72,0.0,630975,2190
Aluwihare_DNA1_bin.386.fa,83.89,1.91,33.33,1709846,5829
Aluwihare_DNA1_bin.389.fa,3.04,0.0,0.0,729499,13630
Aluwihare_DNA1_bin.390.fa,73.67,1.89,40.0,2177357,5583
Aluwihare_DNA1_bin.392.fa,4.39,0.0,0.0,863964,2145
Aluwihare_DNA1_bin.394.fa,87.87,0.31,100.0,1707089,42515
Aluwihare_DNA1_bin.395.fa,2.66,0.0,0.0,429119,29124
Aluwihare_DNA1_bin.396.fa,66.74,0.0,0.0,909364,19403
Aluwihare_DNA1_bin.398.fa,88.43,3.16,0.0,4359559,6834
Aluwihare_DNA1_bin.399.fa,78.12,5.75,68.75,1521299,5350
Aluwihare_DNA1_bin.40.fa,36.38,0.0,0.0,889755,2444
Aluwihare_DNA1_bin.400.fa,77.51,3.28,0.0,1804433,15668
Aluwihare_DNA1_bin.401.fa,0.0,0.0,0.0,350906,12264
Aluwihare_DNA1_bin.402.fa,88.97,1.17,40.0,2471536,8409
Aluwihare_DNA1_bin.404.fa,0.0,0.0,0.0,291757,78275
Aluwihare_DNA1_bin.406.fa,84.21,3.42,63.64,1728066,21874
Aluwihare_DNA1_bin.409.fa,34.95,3.45,50.0,1230259,3290
Aluwihare_DNA1_bin.410.fa,4.45,0.5,0.0,563766,8228
Aluwihare_DNA1_bin.412.fa,52.03,9.4,50.0,792564,4822
Aluwihare_DNA1_bin.414.fa,19.44,1.72,0.0,713979,2974
Aluwihare_DNA1_bin.416.fa,78.83,0.44,100.0,1251122,8013
Aluwihare_DNA1_bin.417.fa,12.23,0.0,0.0,681899,1591
Aluwihare_DNA1_bin.419.fa,51.88,0.0,0.0,2082228,7243
Aluwihare_DNA1_bin.42.fa,28.45,0.0,0.0,1014320,2621
Aluwihare_DNA1_bin.420.fa,23.37,3.01,55.56,550850,2630
Aluwihare_DNA1_bin.421.fa,42.01,0.0,0.0,754306,3778
Aluwihare_DNA1_bin.422.fa,0.0,0.0,0.0,202015,2715
Aluwihare_DNA1_bin.425.fa,20.66,0.43,100.0,587279,2253
Aluwihare_DNA1_bin.427.fa,36.9,4.68,50.0,1633145,2311
Aluwihare_DNA1_bin.428.fa,35.55,6.42,0.0,2733849,1934
Aluwihare_DNA1_bin.431.fa,96.13,1.59,28.57,1433697,21170
Aluwihare_DNA1_bin.433.fa,44.89,1.28,0.0,1122313,2353
Aluwihare_DNA1_bin.434.fa,0.0,0.0,0.0,206632,20418
Aluwihare_DNA1_bin.435.fa,80.23,1.28,50.0,1851245,33313
Aluwihare_DNA1_bin.436.fa,0.0,0.0,0.0,492146,91434
Aluwihare_DNA1_bin.437.fa,85.33,1.28,0.0,2109745,24665
Aluwihare_DNA1_bin.438.fa,0.0,0.0,0.0,332911,70804
Aluwihare_DNA1_bin.439.fa,89.19,0.62,66.67,2019245,29225
Aluwihare_DNA1_bin.44.fa,3.38,0.0,0.0,393740,8176
Aluwihare_DNA1_bin.440.fa,0.0,0.0,0.0,265528,31568
Aluwihare_DNA1_bin.441.fa,0.0,0.0,0.0,329672,23518
Aluwihare_DNA1_bin.442.fa,86.28,3.2,30.0,2366620,17831
Aluwihare_DNA1_bin.444.fa,83.05,2.14,33.33,2548017,22770
Aluwihare_DNA1_bin.45.fa,6.1,0.29,0.0,1561041,1470
Aluwihare_DNA1_bin.46.fa,0.0,0.0,0.0,239892,10002
Aluwihare_DNA1_bin.47.fa,2.68,0.65,18.18,247781,6209
Aluwihare_DNA1_bin.48.fa,0.0,0.0,0.0,214311,36978
Aluwihare_DNA1_bin.49.fa,7.25,0.43,0.0,660941,14755
Aluwihare_DNA1_bin.5.fa,0.0,0.0,0.0,237012,8894
Aluwihare_DNA1_bin.50.fa,0.0,0.0,0.0,347530,12000
Aluwihare_DNA1_bin.51.fa,86.72,2.6,0.0,2524723,9084
Aluwihare_DNA1_bin.52.fa,2.98,0.63,25.0,217347,3433
Aluwihare_DNA1_bin.53.fa,4.3,0.58,0.0,288846,5460
Aluwihare_DNA1_bin.54.fa,2.37,0.0,0.0,205200,3724
Aluwihare_DNA1_bin.59.fa,89.81,2.2,0.0,2027918,7702
Aluwihare_DNA1_bin.63.fa,0.0,0.0,0.0,210115,20698
Aluwihare_DNA1_bin.65.fa,74.6,0.18,0.0,1293485,5164
Aluwihare_DNA1_bin.66.fa,72.86,1.25,33.33,1328015,4407
Aluwihare_DNA1_bin.67.fa,56.87,0.0,0.0,2078111,4339
Aluwihare_DNA1_bin.68.fa,69.15,8.93,88.46,1328309,7394
Aluwihare_DNA1_bin.7.fa,49.01,1.76,50.0,724971,5446
Aluwihare_DNA1_bin.70.fa,0.0,0.0,0.0,400014,39950
Aluwihare_DNA1_bin.71.fa,37.41,1.72,100.0,1354369,9025
Aluwihare_DNA1_bin.73.fa,44.49,6.73,3.57,1664212,2020
Aluwihare_DNA1_bin.75.fa,32.34,0.0,0.0,1733496,2704
Aluwihare_DNA1_bin.78.fa,14.53,0.78,0.0,692613,1930
Aluwihare_DNA1_bin.80.fa,14.91,1.75,0.0,700650,2319
Aluwihare_DNA1_bin.82.fa,0.0,0.0,0.0,257772,11691
Aluwihare_DNA1_bin.84.fa,61.23,3.04,20.0,1336457,3425
Aluwihare_DNA1_bin.86.fa,29.08,1.72,100.0,561278,3122
Aluwihare_DNA1_bin.87.fa,19.83,0.86,0.0,483868,2295
Aluwihare_DNA1_bin.88.fa,15.33,0.0,0.0,807771,1791
Aluwihare_DNA1_bin.89.fa,0.0,0.0,0.0,351599,7345
Aluwihare_DNA1_bin.90.fa,89.67,1.62,25.0,1643445,58778
Aluwihare_DNA1_bin.91.fa,72.04,2.07,0.0,2350511,4092
Aluwihare_DNA1_bin.92.fa,53.0,0.0,0.0,614142,54424
Aluwihare_DNA1_bin.93.fa,0.0,0.0,0.0,240796,6917
Aluwihare_DNA1_bin.94.fa,75.17,2.14,33.33,2613306,9518
Aluwihare_DNA1_bin.96.fa,88.2,2.21,40.0,1865096,10366
Aluwihare_DNA1_bin.99.fa,2.97,0.0,0.0,390394,6586
Aluwihare_DNA2_bin.1.fa,35.85,0.0,0.0,945613,87689
Aluwihare_DNA2_bin.100.fa,0.0,0.0,0.0,254689,18430
Aluwihare_DNA2_bin.101.fa,85.44,0.48,66.67,1437647,9562
Aluwihare_DNA2_bin.102.fa,43.76,1.72,100.0,1222691,6597
Aluwihare_DNA2_bin.103.fa,0.0,0.0,0.0,290537,25335
Aluwihare_DNA2_bin.104.fa,15.31,0.0,0.0,724056,2202
Aluwihare_DNA2_bin.106.fa,60.9,3.51,0.0,1800981,3319
Aluwihare_DNA2_bin.109.fa,0.0,0.0,0.0,397795,10391
Aluwihare_DNA2_bin.11.fa,31.03,0.0,0.0,714415,3641
Aluwihare_DNA2_bin.110.fa,84.75,0.53,0.0,1234990,27291
Aluwihare_DNA2_bin.112.fa,5.33,0.0,0.0,263699,1980
Aluwihare_DNA2_bin.114.fa,13.63,0.49,0.0,392360,2294
Aluwihare_DNA2_bin.116.fa,0.0,0.0,0.0,445687,16650
Aluwihare_DNA2_bin.117.fa,24.29,0.0,0.0,828601,2366
Aluwihare_DNA2_bin.118.fa,0.47,0.0,0.0,266627,16249
Aluwihare_DNA2_bin.119.fa,0.0,0.0,0.0,1100662,2136
Aluwihare_DNA2_bin.121.fa,16.67,0.0,0.0,561366,1967
Aluwihare_DNA2_bin.122.fa,85.65,0.0,0.0,1207549,29051
Aluwihare_DNA2_bin.123.fa,86.02,0.0,0.0,1351981,37646
Aluwihare_DNA2_bin.125.fa,66.88,0.0,0.0,1715343,14389
Aluwihare_DNA2_bin.127.fa,4.53,2.08,0.0,687431,5191
Aluwihare_DNA2_bin.128.fa,0.0,0.0,0.0,318927,232973
Aluwihare_DNA2_bin.13.fa,87.68,0.66,100.0,3117945,11566
Aluwihare_DNA2_bin.131.fa,81.33,0.0,0.0,1266123,32624
Aluwihare_DNA2_bin.133.fa,0.0,0.0,0.0,334753,15079
Aluwihare_DNA2_bin.134.fa,1.91,3.92,43.75,415015,9404
Aluwihare_DNA2_bin.135.fa,77.25,1.08,0.0,1544131,17683
Aluwihare_DNA2_bin.137.fa,80.93,3.38,68.97,1648886,33772
Aluwihare_DNA2_bin.138.fa,0.16,0.0,0.0,202284,6871
Aluwihare_DNA2_bin.14.fa,91.17,1.28,0.0,2011532,17795
Aluwihare_DNA2_bin.140.fa,0.0,0.0,0.0,257056,4307
Aluwihare_DNA2_bin.141.fa,0.0,0.0,0.0,270777,17309
Aluwihare_DNA2_bin.142.fa,85.33,1.28,0.0,2015636,58061
Aluwihare_DNA2_bin.143.fa,96.49,1.71,66.67,1412152,6785
Aluwihare_DNA2_bin.144.fa,84.27,4.19,23.08,2677186,4829
Aluwihare_DNA2_bin.146.fa,0.0,0.0,0.0,356703,108831
Aluwihare_DNA2_bin.149.fa,70.26,3.48,66.67,1293679,3617
Aluwihare_DNA2_bin.15.fa,62.18,0.0,0.0,1900885,110667
Aluwihare_DNA2_bin.150.fa,0.63,0.0,0.0,210280,65249
Aluwihare_DNA2_bin.152.fa,97.75,1.53,25.0,2296689,27929
Aluwihare_DNA2_bin.154.fa,95.73,2.14,33.33,1869465,73794
Aluwihare_DNA2_bin.155.fa,82.11,1.92,33.33,1610851,8758
Aluwihare_DNA2_bin.156.fa,60.82,3.45,100.0,1689518,5651
Aluwihare_DNA2_bin.157.fa,83.9,0.91,28.57,1430915,24373
Aluwihare_DNA2_bin.158.fa,4.17,0.0,0.0,515232,10048
Aluwihare_DNA2_bin.159.fa,77.69,1.79,66.67,1587737,6091
Aluwihare_DNA2_bin.161.fa,93.04,5.58,15.38,3059778,8656
Aluwihare_DNA2_bin.162.fa,90.55,3.24,87.5,2377911,10629
Aluwihare_DNA2_bin.163.fa,0.0,0.0,0.0,263819,7004
Aluwihare_DNA2_bin.165.fa,0.63,0.0,0.0,201550,124109
Aluwihare_DNA2_bin.167.fa,5.26,8.77,0.0,3745589,7264
Aluwihare_DNA2_bin.168.fa,0.0,0.0,0.0,330084,2935
Aluwihare_DNA2_bin.17.fa,17.24,0.0,0.0,292368,2692
Aluwihare_DNA2_bin.171.fa,8.33,0.0,0.0,529140,1727
Aluwihare_DNA2_bin.173.fa,79.35,1.72,0.0,1281217,15142
Aluwihare_DNA2_bin.175.fa,94.92,1.32,58.33,3205213,17125
Aluwihare_DNA2_bin.177.fa,44.61,0.66,33.33,419167,2770
Aluwihare_DNA2_bin.178.fa,88.56,3.77,9.09,2255520,17765
Aluwihare_DNA2_bin.179.fa,0.0,0.0,0.0,337590,43610
Aluwihare_DNA2_bin.18.fa,72.84,0.26,100.0,1082346,9765
Aluwihare_DNA2_bin.180.fa,0.63,0.0,0.0,221368,37852
Aluwihare_DNA2_bin.181.fa,77.64,1.28,0.0,2530450,24679
Aluwihare_DNA2_bin.182.fa,78.96,2.56,33.33,2104933,7628
Aluwihare_DNA2_bin.183.fa,91.2,1.07,50.0,2002153,23439
Aluwihare_DNA2_bin.184.fa,78.06,5.17,0.0,975378,20611
Aluwihare_DNA2_bin.186.fa,5.82,0.0,0.0,271170,2334
Aluwihare_DNA2_bin.189.fa,100.0,0.68,0.0,3014718,82907
Aluwihare_DNA2_bin.19.fa,4.09,0.93,100.0,311530,5020
Aluwihare_DNA2_bin.190.fa,4.69,0.0,0.0,407689,2641
Aluwihare_DNA2_bin.192.fa,0.0,0.0,0.0,279136,45921
Aluwihare_DNA2_bin.194.fa,78.55,5.75,57.14,5051735,7899
Aluwihare_DNA2_bin.195.fa,0.0,0.0,0.0,344524,43121
Aluwihare_DNA2_bin.196.fa,7.25,0.43,0.0,671049,14573
Aluwihare_DNA2_bin.197.fa,0.0,0.0,0.0,204348,6006
Aluwihare_DNA2_bin.198.fa,2.47,0.0,0.0,249987,5154
Aluwihare_DNA2_bin.199.fa,58.09,0.85,0.0,591031,15445
Aluwihare_DNA2_bin.2.fa,13.01,0.0,0.0,458366,2054
Aluwihare_DNA2_bin.20.fa,0.0,0.0,0.0,337629,3145
Aluwihare_DNA2_bin.200.fa,78.03,1.39,50.0,1797202,5263
Aluwihare_DNA2_bin.201.fa,19.83,0.0,0.0,1005454,2662
Aluwihare_DNA2_bin.202.fa,0.78,0.0,0.0,352378,11869
Aluwihare_DNA2_bin.203.fa,0.0,0.0,0.0,262917,8634
Aluwihare_DNA2_bin.205.fa,66.26,0.0,0.0,889437,10178
Aluwihare_DNA2_bin.207.fa,74.97,0.79,50.0,1069467,18595
Aluwihare_DNA2_bin.208.fa,57.83,0.09,0.0,966377,9132
Aluwihare_DNA2_bin.21.fa,5.38,0.5,0.0,520737,8311
Aluwihare_DNA2_bin.211.fa,92.35,3.89,69.23,1494050,15836
Aluwihare_DNA2_bin.213.fa,57.8,5.61,27.78,1042445,3308
Aluwihare_DNA2_bin.215.fa,55.05,2.75,75.0,457820,15913
Aluwihare_DNA2_bin.216.fa,2.59,5.17,0.0,1875005,5205
Aluwihare_DNA2_bin.217.fa,53.21,0.0,0.0,1959540,3409
Aluwihare_DNA2_bin.218.fa,0.0,0.0,0.0,306500,20113
Aluwihare_DNA2_bin.219.fa,88.78,5.09,28.57,1530173,30978
Aluwihare_DNA2_bin.221.fa,62.4,0.0,0.0,1596116,13607
Aluwihare_DNA2_bin.222.fa,0.0,0.0,0.0,301022,7179
Aluwihare_DNA2_bin.224.fa,63.06,0.88,50.0,1095963,4828
Aluwihare_DNA2_bin.226.fa,77.51,1.23,25.0,1561474,4764
Aluwihare_DNA2_bin.23.fa,40.52,3.45,0.0,1335602,5619
Aluwihare_DNA2_bin.230.fa,79.11,2.99,50.0,2564023,7911
Aluwihare_DNA2_bin.232.fa,3.59,0.07,100.0,369363,6427
Aluwihare_DNA2_bin.234.fa,12.15,0.0,0.0,1384447,1598
Aluwihare_DNA2_bin.236.fa,69.1,5.88,0.0,4078861,4106
Aluwihare_DNA2_bin.237.fa,78.16,1.05,33.33,1231125,8902
Aluwihare_DNA2_bin.239.fa,0.0,0.0,0.0,262760,5219
Aluwihare_DNA2_bin.24.fa,81.57,7.27,13.33,1654238,3148
Aluwihare_DNA2_bin.240.fa,97.3,2.06,66.67,2534835,62977
Aluwihare_DNA2_bin.241.fa,0.0,0.0,0.0,270970,4511
Aluwihare_DNA2_bin.242.fa,16.09,0.0,0.0,671128,2180
Aluwihare_DNA2_bin.243.fa,73.34,1.58,33.33,1180398,10746
Aluwihare_DNA2_bin.245.fa,18.24,0.0,0.0,1033095,2171
Aluwihare_DNA2_bin.247.fa,86.15,1.76,44.44,3022649,11919
Aluwihare_DNA2_bin.248.fa,43.57,6.9,0.0,2771900,4086
Aluwihare_DNA2_bin.251.fa,4.17,0.0,0.0,373824,8890
Aluwihare_DNA2_bin.253.fa,64.11,2.23,50.0,1168403,3398
Aluwihare_DNA2_bin.254.fa,74.84,2.14,0.0,2348956,5890
Aluwihare_DNA2_bin.255.fa,0.0,0.0,0.0,383620,16879
Aluwihare_DNA2_bin.256.fa,61.34,5.62,16.67,478467,5202
Aluwihare_DNA2_bin.257.fa,0.0,0.0,0.0,315830,31495
Aluwihare_DNA2_bin.258.fa,56.37,1.71,0.0,2108259,4122
Aluwihare_DNA2_bin.259.fa,86.94,2.14,0.0,2148175,41353
Aluwihare_DNA2_bin.26.fa,0.0,0.0,0.0,259382,4992
Aluwihare_DNA2_bin.260.fa,77.25,9.39,25.0,2010497,4605
Aluwihare_DNA2_bin.261.fa,23.28,2.59,0.0,791515,2369
Aluwihare_DNA2_bin.262.fa,1.21,0.0,0.0,304854,5844
Aluwihare_DNA2_bin.264.fa,2.26,0.65,11.11,217451,24214
Aluwihare_DNA2_bin.266.fa,55.64,6.9,20.0,1942949,2738
Aluwihare_DNA2_bin.269.fa,0.0,0.0,0.0,224174,12806
Aluwihare_DNA2_bin.270.fa,94.59,0.68,0.0,1376864,11438
Aluwihare_DNA2_bin.272.fa,90.52,6.18,15.38,4603798,8159
Aluwihare_DNA2_bin.274.fa,39.71,0.76,0.0,1304621,2401
Aluwihare_DNA2_bin.276.fa,0.0,0.0,0.0,246442,2513
Aluwihare_DNA2_bin.277.fa,91.29,2.73,40.0,1931240,12658
Aluwihare_DNA2_bin.279.fa,78.93,1.16,80.0,1828963,6472
Aluwihare_DNA2_bin.280.fa,0.0,0.0,0.0,207056,7316
Aluwihare_DNA2_bin.281.fa,0.0,0.0,0.0,205564,14526
Aluwihare_DNA2_bin.282.fa,0.0,0.0,0.0,579960,28307
Aluwihare_DNA2_bin.283.fa,84.28,1.28,0.0,2270627,19650
Aluwihare_DNA2_bin.285.fa,32.71,3.45,50.0,462167,2286
Aluwihare_DNA2_bin.287.fa,0.0,0.0,0.0,238431,5182
Aluwihare_DNA2_bin.288.fa,59.93,2.28,25.0,1977397,4808
Aluwihare_DNA2_bin.29.fa,89.12,6.59,91.67,1602188,4562
Aluwihare_DNA2_bin.291.fa,0.0,0.0,0.0,644887,10438
Aluwihare_DNA2_bin.293.fa,0.0,0.0,0.0,725715,7275
Aluwihare_DNA2_bin.294.fa,2.66,0.0,0.0,433874,31083
Aluwihare_DNA2_bin.295.fa,58.87,2.56,33.33,562579,20561
Aluwihare_DNA2_bin.296.fa,0.36,0.0,0.0,395489,42612
Aluwihare_DNA2_bin.297.fa,47.57,1.72,0.0,2175696,2767
Aluwihare_DNA2_bin.299.fa,0.0,0.0,0.0,360877,14016
Aluwihare_DNA2_bin.3.fa,0.0,0.0,0.0,343154,5303
Aluwihare_DNA2_bin.30.fa,12.07,0.0,0.0,601799,2087
Aluwihare_DNA2_bin.301.fa,0.0,0.0,0.0,749494,8948
Aluwihare_DNA2_bin.304.fa,3.91,0.0,0.0,205835,22887
Aluwihare_DNA2_bin.305.fa,17.24,0.0,0.0,413758,2580
Aluwihare_DNA2_bin.307.fa,0.0,0.0,0.0,308155,36733
Aluwihare_DNA2_bin.308.fa,83.7,0.68,0.0,1989139,8474
Aluwihare_DNA2_bin.311.fa,80.61,0.0,0.0,1276745,47533
Aluwihare_DNA2_bin.312.fa,0.0,0.0,0.0,370383,12642
Aluwihare_DNA2_bin.313.fa,64.35,2.28,16.67,1411119,6419
Aluwihare_DNA2_bin.315.fa,50.85,0.0,0.0,2043189,3293
Aluwihare_DNA2_bin.317.fa,82.7,2.61,20.0,2308383,4148
Aluwihare_DNA2_bin.318.fa,60.17,3.67,9.09,1110542,2496
Aluwihare_DNA2_bin.32.fa,51.18,6.93,16.67,589300,7180
Aluwihare_DNA2_bin.320.fa,87.7,0.0,0.0,1155739,40066
Aluwihare_DNA2_bin.322.fa,90.29,1.28,0.0,2026897,29226
Aluwihare_DNA2_bin.324.fa,5.64,0.0,0.0,295753,4096
Aluwihare_DNA2_bin.325.fa,4.53,0.22,0.0,352230,12334
Aluwihare_DNA2_bin.326.fa,81.91,1.52,0.0,1807518,8628
Aluwihare_DNA2_bin.327.fa,76.04,2.23,50.0,1453298,4677
Aluwihare_DNA2_bin.328.fa,5.31,2.3,0.0,307483,6771
Aluwihare_DNA2_bin.329.fa,0.81,0.0,0.0,286958,3944
Aluwihare_DNA2_bin.330.fa,10.53,0.0,0.0,296096,2403
Aluwihare_DNA2_bin.331.fa,4.17,0.0,0.0,479133,3155
Aluwihare_DNA2_bin.332.fa,4.91,4.19,26.92,453310,4602
Aluwihare_DNA2_bin.333.fa,98.99,1.49,0.0,2907853,58089
Aluwihare_DNA2_bin.334.fa,71.45,0.0,0.0,956312,62524
Aluwihare_DNA2_bin.336.fa,76.24,4.21,0.0,1295226,13193
Aluwihare_DNA2_bin.339.fa,55.31,0.0,0.0,556671,61353
Aluwihare_DNA2_bin.34.fa,8.33,0.0,0.0,1775043,2286
Aluwihare_DNA2_bin.341.fa,86.52,0.26,0.0,1548505,21151
Aluwihare_DNA2_bin.343.fa,5.38,1.91,0.0,484532,19582
Aluwihare_DNA2_bin.344.fa,5.96,0.0,0.0,728920,2306
Aluwihare_DNA2_bin.345.fa,0.0,0.0,0.0,442465,15124
Aluwihare_DNA2_bin.347.fa,4.45,0.5,0.0,350179,9237
Aluwihare_DNA2_bin.348.fa,0.0,0.0,0.0,3123845,7927
Aluwihare_DNA2_bin.349.fa,74.92,2.52,71.43,1329296,11843
Aluwihare_DNA2_bin.35.fa,0.0,0.0,0.0,252454,9236
Aluwihare_DNA2_bin.351.fa,0.0,0.0,0.0,361124,13126
Aluwihare_DNA2_bin.352.fa,66.69,0.0,0.0,1706003,5951
Aluwihare_DNA2_bin.355.fa,68.29,0.85,100.0,1091027,4814
Aluwihare_DNA2_bin.357.fa,0.0,0.0,0.0,205028,13120
Aluwihare_DNA2_bin.358.fa,0.0,0.0,0.0,310512,16840
Aluwihare_DNA2_bin.36.fa,3.08,0.0,0.0,250989,3598
Aluwihare_DNA2_bin.362.fa,0.0,0.0,0.0,507844,6900
Aluwihare_DNA2_bin.365.fa,0.0,0.0,0.0,238641,11688
Aluwihare_DNA2_bin.366.fa,25.0,5.17,33.33,1165927,2797
Aluwihare_DNA2_bin.367.fa,70.26,0.52,0.0,1854182,4280
Aluwihare_DNA2_bin.368.fa,23.62,1.72,0.0,791411,2788
Aluwihare_DNA2_bin.369.fa,70.82,1.9,85.71,1591245,3547
Aluwihare_DNA2_bin.37.fa,0.0,0.0,0.0,213873,4236
Aluwihare_DNA2_bin.371.fa,41.82,0.99,0.0,546245,3852
Aluwihare_DNA2_bin.372.fa,0.0,0.0,0.0,626416,7010
Aluwihare_DNA2_bin.38.fa,0.0,0.0,0.0,395112,19559
Aluwihare_DNA2_bin.39.fa,5.38,0.43,0.0,626202,28382
Aluwihare_DNA2_bin.42.fa,86.25,2.14,0.0,1961688,13137
Aluwihare_DNA2_bin.43.fa,44.37,6.84,0.0,1752902,3863
Aluwihare_DNA2_bin.45.fa,83.05,0.79,100.0,1792872,16905
Aluwihare_DNA2_bin.47.fa,8.33,0.0,0.0,674102,2322
Aluwihare_DNA2_bin.48.fa,36.25,4.87,36.36,1595558,1985
Aluwihare_DNA2_bin.5.fa,17.24,0.0,0.0,539088,2415
Aluwihare_DNA2_bin.51.fa,46.3,2.86,26.67,1742835,7513
Aluwihare_DNA2_bin.53.fa,30.17,0.0,0.0,512804,2110
Aluwihare_DNA2_bin.54.fa,3.04,0.07,0.0,466026,19667
Aluwihare_DNA2_bin.55.fa,17.24,0.0,0.0,366219,2260
Aluwihare_DNA2_bin.57.fa,47.85,0.07,0.0,1349868,2339
Aluwihare_DNA2_bin.58.fa,72.79,2.19,64.29,1485273,11435
Aluwihare_DNA2_bin.59.fa,36.38,5.17,100.0,1312411,3110
Aluwihare_DNA2_bin.60.fa,47.73,2.02,33.33,853733,2826
Aluwihare_DNA2_bin.61.fa,81.0,3.85,16.67,1947412,14222
Aluwihare_DNA2_bin.62.fa,14.5,2.04,75.0,244643,3993
Aluwihare_DNA2_bin.63.fa,57.59,1.32,50.0,1085420,2934
Aluwihare_DNA2_bin.64.fa,31.55,1.72,100.0,883246,3398
Aluwihare_DNA2_bin.66.fa,1.43,0.0,0.0,208909,5614
Aluwihare_DNA2_bin.69.fa,23.28,0.86,0.0,1257822,10980
Aluwihare_DNA2_bin.7.fa,18.81,1.49,14.29,1318713,1478
Aluwihare_DNA2_bin.70.fa,88.56,1.35,0.0,2147333,6545
Aluwihare_DNA2_bin.72.fa,3.16,8.55,3.12,4181729,4220
Aluwihare_DNA2_bin.74.fa,93.37,0.21,0.0,1996413,31524
Aluwihare_DNA2_bin.76.fa,0.0,0.0,0.0,368167,49287
Aluwihare_DNA2_bin.77.fa,19.4,0.0,0.0,448778,2284
Aluwihare_DNA2_bin.78.fa,55.02,7.02,0.0,2720972,2258
Aluwihare_DNA2_bin.79.fa,11.05,0.47,0.0,1275694,1737
Aluwihare_DNA2_bin.8.fa,0.0,0.0,0.0,448643,2828
Aluwihare_DNA2_bin.82.fa,57.7,1.98,0.0,585611,17052
Aluwihare_DNA2_bin.83.fa,0.0,0.0,0.0,336081,22884
Aluwihare_DNA2_bin.85.fa,89.25,1.35,0.0,1665524,69899
Aluwihare_DNA2_bin.87.fa,0.0,0.0,0.0,221106,4372
Aluwihare_DNA2_bin.88.fa,0.0,0.0,0.0,265800,9656
